Act,Applying
Adapt,Applying
Analyse,Analysing
Apply,Applying
Appraise,Analysis
Argue,Evaluating
Articulate,Understanding
Assemble,Creating
Assess,Evaluating
Associate,Understanding
Attach,Evaluating
Back / Back Up,Applying
Break,Analysing
Break Down,Analysing
Change,Applying
Clarify,Understanding
Complete,Applying
Compose,Creating
Comprehend,Understanding
Compute,Applying
Convert,Understanding
Convince,Evaluating
Copy,Remembering
Core,Evaluating
Correlate,Analysing
Counsel,Evaluating
Create,Creating
Critique,Evaluating
Debate,Analysing
Decide,Evaluating
Deconstruct,Analysing
Deduce,Analysing
Define,Remembering
Detect,Analysing
Determine,Evaluating
Devise,Creating
Diagnose,Analysing
Diagram,Analysing
Discuss,Understanding
Divide,Analysing
Dramatise,Applying
Draw,Remembering
Duplicate,Remembering
Employ,Applying
Evaluate,Evaluating
Examine,Analysing
Exemplify,Understanding
Express,Understanding
Extend,Understanding
Extrapolate,Understanding
Facilitate,Creating
Figure,Analysing
Find,Remembering
Formulate,Creating
Generate,Creating
Give,Understanding
Give Examples,Understanding
Grade,Evaluating
Group,Analysing
Hypothesise,Creating
Implement,Applying
Improve,Creating
Inspect,Analysing
Integrate,Creating
Interpolate,Understanding
Interview,Applying
Investigate,Analysing
Judge,Evaluating
Justify,Evaluating
Label,Remembering
List,Remembering
Make,Creating
Manipulate,Applying
Mediate,Evaluating
Memorise,Remembering
Monitor,Evaluating
Name,Remembering
Observe,Understanding
Operate,Applying
Originate,Creating
Paint,Applying
Paraphrase,Understanding
Perform,Creating
Plan,Creating
Point Out,Analysing
Probe,Evaluating
Propose,Creating
Prove,Evaluating
Quote,Remembering
Rank,Evaluating
Read,Remembering
Recall,Remembering
Recite,Remembering
Reconstruct,Creating
Record,Remembering
Reorganise,Creating
Repeat,Remembering
Report,Understanding
Represent,Understanding
Research,Analysing
Restate,Understanding
Revise,Creating
Simulate,Applying
Sketch,Applying
State,Remembering
Tabulate,Remembering
Underline,Remembering
Use,Applying
Utilise,Applying
Transfer,Applying
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
,#N/A
