LO,Cognitive,Affective,Psychomotor,SOLO
be critical and creative thinkers who are able to communicate effectively and perceptively to a variety of key stakeholders,,Responding,,
be responsible and effective global citizens who engage in an internationalised world by being able to demonstrate cross cultural competencies and empathy whilst acting ethically and sustainably,,Characterisation,,
"demonstrate broad knowledge and technical capabilities driven by an entrepreneurial mindset across a variety of domains including but not limited to the business, professional and public policy communities that we serve",,Valuing,,
understand and be able to test critical issues relating to problem-solution fit,,Valuing,,
develop and manage effective ways of working in a start-up team.,,Responding,,
critically research and explore complex challenges to create and communicate innovative and informed ideas or solutions,,Responding,,
"be an empathetic and global citizen who considers and creates value that is holistic and ethical, by challenging, integrating and accommodating differing world views",,Characterisation,,
"demonstrate broad technical and soft skills aligned to innovation, to deliver value to people, businesses and society",,Valuing,,
"communicate and rationalise a point of view that is evidence-based, persuasive and compelling.",,Responding,,
Relate bioprocess organisms and their nutrient requirement to bioprocess considerations.,,Organization,Perception,
Solve engineering problems related to design and operation of bioreactors.,,Characterisation,,
"Identify and calculate the loads to which a bridge is subjected, according to first principles and relevant codes of practice.",,,Mechanism,
Determine the structural behaviour various bridge types quantitatively and qualitatively using relevant hand- and computer-based methods.,,,Complex Overt Response,
Design prestressed concrete beams for service and strength requirements.,,,Mechanism,
"Describe the reliability basis for limit state design and its use in bridge assessment, including descriptions of the basic variables",,,Complex Overt Response,
"Discuss bridge inspection and management procedures, including levels of assessment and condition rating approaches.",,,Complex Overt Response,
Work effectively in a bridge design team and communicate engineering designs.,,,Complex Overt Response,
Apply project evaluation techniques including the triple bottom line against the overall business model.,,Organisation,Adaptation,
"Identify the elements of the project life cycle, including plan, control, and organise and allocate resources.",,Organisation,Complex Overt Response,
"Evaluate and apply the basic tools and techniques to plan, organise and manage a project.",,Valuing,Mechanism,
"Identify strategic constraints in managing the scope, time, cost and quality components.",,Recieving,Perception,
"Discuss professional responsibility, occupational health and safety and ethical conduct.",,Valuing,Perception,
"
Describe the operation of computer arithmetic, assemblers and compilers, a RISC processor datapath and solve related problems.",,Responding,Perception,
"
Describe and define appropriate models for the behaviour of key semiconductor electronic components (diodes, transistors, operational amplifiers) in circuits and summarise their uses.",,,Perception,
"
Simulate cameras using projective and multi-view geometry to design model-based vision systems and algorithms that extract 3D and rotational information from images, alongside methods for image registration and stitching.",,Organization,Origination,
"Differentiate between elements of the human visual system and computer vision pipelines, and reflect on the consequences for the design of algorithms for scene understanding.",,valuing,Perception,
"Design ethical machine learning solutions to problems in computer vision, such as image classification, 3D reconstruction and pose estimation, object detection and semantic segmentation, by critically appraising information and publications.",,Organization,Origination,
"
Demonstrate the development, training and deployment of computer vision algorithms using a high-level programming language.",,Responding,,
"
Identify the limits of human visual and aural perception, and how they can be exploited for bit rate reduction.",,Responding,Perception,
"
Describe the structure of modern multimedia compression systems, and how they exploit the characteristics of both the media itself and human consumers of the media.",,Responding,Perception,
"
Explain how media can be characterised and described, including methods that allow similarities to be automatically identified (e.g. music matching services).",,,Set,
"Compute the end-to-end delay performance of modern Internet protocols supporting media streaming, and relate this to service requirements for on-demand and communicative multimedia services.",,Organization,Perception,
"
Explain the methods of digital rights managements systems, including the role of encryption and key management, and the importance of such systems to enable high-value digital content retrieval services such as movies-on-demand.",,,Set,
