Unit Name,LO ID,Learning outcomes,Verbs identified,Possible SOLO Levels,Possible Bloom's Levels,Describe the mapping process,Discussion Notes,Final SOLO Level,Final Bloom Level,Unit Level Conclusions / Discussion,,,Colour,Meaning,,,,,SOLO Levels,Blooms Levels
ENG1012 - Engineering Design,LO1,"Discern fundamental chemical, materials, mechanical and environmental engineering knowledge, principles and concepts to propose solutions to a humanitarian engineering problem.","Discern, propose",Multistructural,"Understanding, Analysiing, Creating","For the SOLO level, the mapping here is straighforward as the two verbs identified both correspond to the Multistructural level. For Blooms level, the word discern is similar to differentiate. But the verb differentiate is mapped to 2 solo levels being understanding and analysing. The word propose maps to the Blooms level creating. Since this is a level 1 unit, Creating and analysing wont be appropriate for this level, therefore, Understanding would be the most appropriate Bloom's level.",,Multistructural,Understanding,There is a good spread of all levels for Blooms but the SOLO levels majority are Multistructural. ,,,,Example of simple and easily mapped LO,,,,,Unistructural,Knowledge
,LO2,Identify design requirements from a provided brief and analyse potential solutions using first principles of mathematics and natural and engineering sciences.,"Identify, analyse","Unistructural, Relational","Remembering, Applying, analysing","For the SOLO level, it would map to Relational because looking at the LO, it is required to analyse some principles. At this level, Unistructural level wouldnt be enough so Relational is a more suitable mapping. Based on the solo mapping, it would also be ideal to map the Bloom's level also to analysing level. ",,Relational,Analysing,,,,,Somewhat difficult to map or interesting use case,,,,,Multistructural,Comprehension
,LO3,"Identify societal, health, safety, legal and cultural issues relevant to your project including the Indigenous context, and your consequent responsibilities as an engineer.",Identify,Unistructural ,"Remembering, Applying, analysing","The mapping to SOLO is straightforward which is to Unistructural. For the Blooms level, the LO;s are being mapped 3 different levels. But looking at the SOLO mapping, since it is unistructural, the most ideal similar level mapping would be Remembering.",,Unistructural,Remembering,,,,,Difficult to map and presents edge case,,,,,Relational,Apply
,LO4,"Determine appropriate principles of sustainable design and development, including embodied energy, renewable materials, availability, costs, etc, of a proposed solution using a systems approach to design.",Determine,Multistructural,Evaluating,The mapping to SOLO is straightforward which is Multistructural. The mapping to Bloom's is also direct to Evaluating level.,,Multistructural,Evaluating,,,,,,,,,,Extended abstract,Analysis
,LO5,"Discern the ethical considerations of working with diverse communities and stakeholders, and demonstrate your commitment to the Engineers Australia Code of Ethics and/or the Board of Engineers Malaysia Code of Professional Conduct, and established norms of professional conduct throughout your project.","Discern, demonstrate","Multistructural, Extended Abstract","Understanding, applying","Extended abstract seems to be a bit too much for SOLO at this level so Multistructural is ideal. Since the  verb demostrate mapped to both understanding and applying which are both levels one after the other, it would be ideal to map it to Applying.",,Multistructural,Applying,,,,,,,,,,,Evaluate
,LO6,"Describe project progress and outputs to stakeholders verbally through pitches, in writing through professional engineering documentation, and graphically through drawings and visualisations.",Describe,Multistructural,"Remembering, understanding, evaluating","Straighforward mapping to Multistructural for SOLO. As for Blooms, it is more appropriate to map it to understanding level because evaluating seems too complicated for this level and also the Understanding level comes right after Remembering so Understanding would be more appropriate.",,Multistructural,Understanding,,,,,,,,,,,Create
,LO7,"Describe the principles of team norms, collaboration and dynamics, define your professional goals and discern the practices that lead to successful teamwork in a multicultural context.","Describe, define, discern","Unistructural, Multistructural","Remembering, understanding evaluating","For SOLO level, all three verbs match the Multistructural level so it is the most ideal one. Discern doesnt appear in the verbs list for Bloom's. Evaluating is too far in the list so it wont be considered. Describe appears in both Remembering and understanding but define only appears in Remembering. Therefore, it is leaning more towards Remembering for Bloom's level.",,Multistructural,Remembering,,,,,,,,,,,
ENG1005 - Engineering Mathematics,LO1,"Identify, select and derive fundamental mathematical techniques from linear algebra, multi-variable calculus and ordinary differential equations that are essential to engineering applications.","Identify, Select, Derive","Unistructural, Multistructural","Remembering, Understanding, Applying, Analysing, Evaluating","Each of the three verbs identified are at the beginning of the sentence, separated by punctuation and stop words. This feels like a very simple LO. Identify is used in Remembering, Understanding, Analysing and Applying in Bloom's, and Unistructural in SOLO. Select is used in 5 Bloom levels, 1-5, and Multistructural in SOLO. Derive does not appear in either taxonomy using the current samples. Based on the levels of the verbs and the fact that the unit is a level 1 unit, this learning outcome is mapped to Remembering (Bloom) and Unistructural (SOLO).",,Unistructural,Remembering,Most of the LOs are in the lower half of the taxonomy levels. LO2 is Applying (Bloom) and this is this highest level mapped. These mappings feel approproate for a unit of this level.,,,,,,,,,,
,LO2,Apply mathematical techniques to solve engineering problems.,"Apply, Solve","Relational, Extended Abstract","Applying, Analysing","The sentence begins with the verb Apply, but 'Solve' appears towards the end of the sentence. Apply is categorised as Applying under Blooms and Relational in SOLO. Solve is Applying and Analysing in Bloom's, and Relational and Extended Abstract in SOLO. The sentence could possibly be rewritten with 'Use' rather than 'Apply' but the taxonomy levels are the same. Given the unit is level 1 Relational and Applying feel more appropriate so the LO was mapped to those.","Two verbs, simple sentence",Relational,Applying,,,,,,,,,,,
,LO3,Discuss best practices in the presentation of written mathematical arguments.,Discuss,Multistructural,Understanding,This sentence is a simple sentence and only contains one verb. The verb correlates to Multistructural (SOLO) and Understanding (Blooms). This feels appropriate for the level of the unit so the LO is mapped to those.,Simplest use case,Multistructural,Understanding,,,,,,,,,,,
,LO4,Engage in team discussion on the application of mathematics.,"Engage, Discussion?","Multistructural, Relational, Extended Abstract",Understanding,"The only verb identified in this sentence is Engage which is Extended Abstract in SOLO but doesn't appear in Bloom's. While Discussion is a noun, Discuss is a verb so it will be considered when mapping this LO. Discuss is Multistructural and Relational (SOLO) and Understanding (Blooms). This feels more appropriate for the level of the unit so the LO is mapped to Multistructural and Understanding.",Substitute noun as verb,Multistructural,Understanding,,,,,,,,,,,
ENG1013 - Engineering Smart Systems,LO1,Discuss requirements of a smart system from component to integrated perspective.,Discuss,Multistructural,Understanding,This sentence is a simple sentence and only contains one verb. The verb correlates to Multistructural (SOLO) and Understanding (Blooms). This feels appropriate for the level of the unit so the LO is mapped to those.,,Multistructural,Understanding,,,,,,,,,,,
,LO2,"Define programs using Python, discern problem-solving strategies in decomposing problems using algorithms and describe software engineering processes.","Define, Discern, Describe","Unistructural, Multistructural","Remembering, Understanding, Evaluating","This sentence contains three verbs. Define correlates to Remembering (Bloom) and Unistructural (SOLO). Describe correlates to Multistructural (SOLO) and Remembering, Understanding and Evaluating in Bloom's. Discern didn't appear in any of the sample verbs. Describe being listed as Evaluating feels like an outlier and will need review. Based on the units level, Multistructural and Understanding feel most appropriate thus the LO has been mapped to those.",One verb not mapped,Multistructural,Understanding,,,,,,,,,,,
,LO3,Select fundamental circuit analysis techniques to solve problems in circuits that contain common electrical and electronic components.,"Select, Solve","Multistructural, Relational, Extended Abstract","Remembering, Understanding, Applying, Analysing, Evaluating","The two verbs apprear in multiple levels in both taxonomies. Select is Multistructural (SOLO) and Remembering -> Evaluating (Bloom). Solve is Relational and Extended Abstract (SOLO), and Applying and Analysing (Bloom). Based on the units level, Multistructural and Understanding feel most appropriate thus the LO has been mapped to those.",,Multistructural,Understanding,,,,,,,,,,,
