,,Remembering,Understanding,Applying,Analysing,Evaluating,Creating
Bloom Cognitive Monash,0,define,classify,choose,breakdown,appraise,assemble
Bloom Cognitive Monash,1,draw,compare,compute,categorise,argue,construct
Bloom Cognitive Monash,2,duplicate,describe,demonstrate,,assess,create
Bloom Cognitive Monash,3,list,discuss,dramatise,contrast,defend,compose
Bloom Cognitive Monash,4,label,distinguish,employ,criticise,evaluate,design
Bloom Cognitive Monash,5,match,explain,illustrate,differentiate,judge,develop
Bloom Cognitive Monash,6,name,identify,interpret,discriminate,rank,formulate
Bloom Cognitive Monash,7,outline,locate,operate,,rate,generate
Bloom Cognitive Monash,8,recall,recognise,sketch,examine,recommend,produce
Bloom Cognitive Monash,9,repeat,summarise,solve,predict,select,revise
Bloom Cognitive Monash,10,,translate,use,question,support,rewrite
Bloom Cognitive Monash,11,state,paraphrase,write,simplify,value,
Bloom Cognitive Empirical,0,,comprehend,apply,analyse,adopt,
Bloom Cognitive Empirical,1,,,change,arrange,,conclude
Bloom Cognitive Empirical,2,,convert,,break down,combine,convince
Bloom Cognitive Empirical,3,,,,,compile,critique
Bloom Cognitive Empirical,4,,,,,,critizise
Bloom Cognitive Empirical,5,,,discover,deconstruct,,decide
Bloom Cognitive Empirical,6,,extend,manipulate,diagram,,
Bloom Cognitive Empirical,7,,generalise,modify,,devise,
Bloom Cognitive Empirical,8,,infer,,,,
Bloom Cognitive Empirical,9,,,,,integrate,
Bloom Cognitive Empirical,10,reproduce,,prepare,,,
Bloom Cognitive Empirical,11,,,,separate,organise,justify
Bloom Cognitive Empirical,12,show,,,,reaarange,
Bloom Cognitive Encyclopedia,0,,articulate,act,,,
Bloom Cognitive Encyclopedia,1,,assosciate,adapt,,,
Bloom Cognitive Encyclopedia,2,cite,characterise,,,,
Bloom Cognitive Encyclopedia,3,copy,,back,,,
Bloom Cognitive Encyclopedia,4,,clarify,back up,,,
Bloom Cognitive Encyclopedia,5,,,calculate,,,
Bloom Cognitive Encyclopedia,9,indicate,,complete,,,
Bloom Cognitive Encyclopedia,11,,,co,,,
Bloom Cognitive Encyclopedia,14,memorise,,,,,
Bloom Cognitive Encyclopedia,15,,estimate,,,,
Bloom Cognitive Encyclopedia,16,order,,,,,
Bloom Cognitive Encyclopedia,17,,express,,,,
Bloom Cognitive Encyclopedia,18,quote,,,,,
Bloom Cognitive Encyclopedia,19,read,extrapolate,,,,
Bloom Cognitive Encyclopedia,21,recite,give,,,,
Bloom Cognitive Encyclopedia,22,,give examples,,,,
Bloom Cognitive Encyclopedia,23,record,,,,,
Bloom Cognitive Encyclopedia,24,relate,,,,,
Bloom Cognitive Encyclopedia,27,review,interpolate,,,,
Bloom Cognitive Encyclopedia,30,tabulate,,,,,
Bloom Cognitive Encyclopedia,31,tell,observe,,,,
Bloom Cognitive Encyclopedia,32,underline,,,,,
Bloom Cognitive Encyclopedia,37,,report,,,,
Bloom Cognitive Encyclopedia,38,,represent,,,,
Bloom Cognitive Encyclopedia,39,,restate,,,,
Bloom Cognitive Anderson,3,find,,,,,
Bloom Cognitive Anderson,4,,,,constrast,,
Bloom Cognitive Anderson,5,,exemplify,implement,debate,,
Bloom Cognitive Anderson,6,,,interview,,,hypothesise
Bloom Cognitive Anderson,7,,,,deduce,,invent
Bloom Cognitive Anderson,8,,,,,,make
Bloom Cognitive Anderson,9,,,role play,,,perform
Bloom Cognitive Anderson,10,,,,,monitor,plan
Bloom Cognitive Anderson,12,,,transfer,,prioritise,
Bloom Cognitive Anderson,13,,,,,prove,
Bloom Cognitive Anderson,15,,,,research,,
Bloom Cognitive Anderson,17,,,,structure,,
