,,Prestructural,Unistructural,Multistructural,Relational,Extended Abstract
SOLO Monash,0,,comply,define,address,appraise
SOLO Monash,1,,identify,describe,analyse,assess
SOLO Monash,2,,locate,determine,apply,deliberate
SOLO Monash,3,,,discern,appreciate,demonstrate
SOLO Monash,4,,,issue,calculate,design
SOLO Monash,5,,,propose,compute,draw on
SOLO Monash,6,,,record,conduct,engage
SOLO Monash,7,,,select,construct,evaluate
SOLO Monash,8,,,,debate,generate
SOLO Monash,9,,,,decide,hypothesise
SOLO Monash,10,,,,derive,integrate
SOLO Monash,11,,,,differentiate,justify
SOLO Monash,12,,,,discuss,mitigate
SOLO Monash,13,,,,execute,negotiate
SOLO Monash,14,,,,formulate,plan
SOLO Monash,15,,,,function,prioritise
SOLO Monash,16,,,,interpret,reflect
SOLO Monash,17,,,,manage,respond to
SOLO Monash,18,,,,partition,review
SOLO Monash,19,,,,predict,simulate
SOLO Monash,20,,,,prove,synthesise
SOLO Monash,21,,,,quantify,value
SOLO Monash,22,,,,recombine,
SOLO Monash,23,,,,reduce,
SOLO Monash,24,,,,satisfy,
SOLO Monash,25,,,,solve from first principles,
SOLO Monash,26,,,,track,
SOLO Monash,27,,,,use,
SOLO Monash,28,,,,verify,
SOLO TfQLaU 2,0,,count,classify,,compose
SOLO TfQLaU 2,1,,,,,create
SOLO TfQLaU 2,2,,draw,,argue,generalise
SOLO TfQLaU 2,3,,find,,characterise,
SOLO TfQLaU 2,4,,,illustrate,compare,
SOLO TfQLaU 2,5,,imitate,list,conclude,invent
SOLO TfQLaU 2,6,,label,narrate,,make an original case
SOLO TfQLaU 2,7,,match,outline,contrast,originate
SOLO TfQLaU 2,8,,memorise,report,,prove from first principles
SOLO TfQLaU 2,9,,name,,,
SOLO TfQLaU 2,10,,order,separate,examine,
SOLO TfQLaU 2,11,,quote,sequence,explain,theorise
SOLO TfQLaU 2,12,,recall,,,
SOLO TfQLaU 2,13,,recite,,make a case,
SOLO TfQLaU 2,14,,recognise,,make a plan,
SOLO TfQLaU 2,15,,tell,,organise,
SOLO TfQLaU 2,16,,write,,paraphrase,
SOLO TfQLaU 2,19,,,,review and rewrite,
SOLO TfQLaU 2,20,,,,solve a problem,
SOLO TfQLaU 2,21,,,,summarise,
SOLO TfQLaU 2,22,,,,transfer,
SOLO TfQLaU 2,23,,,,translate,
SOLO John Biggs,0,fail,follow simple procedure,combine,,
SOLO John Biggs,1,incompetent,,,,
SOLO John Biggs,2,misses point,,enumerate,,
SOLO John Biggs,4,,,perform serial skills,,
SOLO John Biggs,5,,,,criticise,
SOLO John Biggs,8,,,,relate,
