,,Receiving,Responding,Valuing,Organisation,Characterisation
Bloom Affective UNH,0,ask,answer,complete,adhere,act
Bloom Affective UNH,1,choose,assist,demonstrate,alter,discriminate
Bloom Affective UNH,2,describe,aid,differentiate,arrange,display
Bloom Affective UNH,3,follow,comply,explain,combine,influence
Bloom Affective UNH,4,give,conform,,compare,listen
Bloom Affective UNH,5,hold,discuss,form,,modify
Bloom Affective UNH,6,identify,greet,initiate,defend,perform
Bloom Affective UNH,7,locate,help,invite,,practise
Bloom Affective UNH,8,name,label,join,formulate,propose
Bloom Affective UNH,9,select,,justify,generalise,qualify
Bloom Affective UNH,10,sit,,,,question
Bloom Affective UNH,11,erect,present,read,integrate,revise
Bloom Affective UNH,12,reply,,report,,serve
Bloom Affective UNH,13,use,recite,,order,solve
Bloom Affective UNH,14,,,share,organise,verify
Bloom Affective UNH,15,,,study,prepare,
Bloom Affective UNH,16,,tell,work,relate,
Bloom Affective UNH,17,,write,,synthesise,
Bloom Affective Syracuse,0,,agree,adopt,anticipate,
Bloom Affective Syracuse,1,acknowledge,allow,,collaborate,administrator
Bloom Affective Syracuse,2,attend,,care,confer,advance
Bloom Affective Syracuse,3,,,,consider,advocate
Bloom Affective Syracuse,4,,,complement,consult,
Bloom Affective Syracuse,5,meet,attempt,contribute,coordinate,challenge
Bloom Affective Syracuse,6,observe,,delay,design,change
Bloom Affective Syracuse,7,receive,communicate,encourage,direct,commit
Bloom Affective Syracuse,8,,,endorse,establish,counsel
Bloom Affective Syracuse,9,,,enforce,faciliate,criticise
Bloom Affective Syracuse,10,,cooperate,evaluate,investigate,debate
Bloom Affective Syracuse,11,,,expedite,judge,
Bloom Affective Syracuse,12,,,foster,lead,disagree
Bloom Affective Syracuse,13,,,guide,manage,dispute
Bloom Affective Syracuse,14,,,,,empathise
Bloom Affective Syracuse,15,,exhibit,interact,,enhance
Bloom Affective Syracuse,16,,,,oversee,excuse
Bloom Affective Syracuse,17,,,,plan,forgive
Bloom Affective Syracuse,18,,,maintain,,
Bloom Affective Syracuse,19,,,monitor,recommend,motivate
Bloom Affective Syracuse,20,,,praise,,negotiate
Bloom Affective Syracuse,21,,notify,preserve,simplify,object
Bloom Affective Syracuse,22,,obey,,submit,perservere
Bloom Affective Syracuse,23,,offer,query,,persist
Bloom Affective Syracuse,24,,participate,react,test,
Bloom Affective Syracuse,25,,,respect,very,profess
Bloom Affective Syracuse,26,,,seek,weigh,promote
Bloom Affective Syracuse,27,,relay,,,promulgate
Bloom Affective Syracuse,29,,,subscribe,,reject
Bloom Affective Syracuse,30,,respond,suggest,,resolve
Bloom Affective Syracuse,31,,,support,,
Bloom Affective Syracuse,32,,try,thank,,
Bloom Affective Syracuse,33,,,uphold,,strive
Bloom Affective Syracuse,35,,,,,tolerate
Bloom Affective Syracuse,36,,,,,volunteer
Bloom Affective Waterloo,0,,,accept,adapt,
Bloom Affective Waterloo,1,,,approve,,
Bloom Affective Waterloo,2,,clarify,,categorise,behave
Bloom Affective Waterloo,3,,,,classify,characterise
Bloom Affective Waterloo,6,,,,,exemplify
Bloom Affective Waterloo,7,,,,,function
Bloom Affective Waterloo,8,,indicate,,,incorporate
Bloom Affective Waterloo,9,,inquire,,,
Bloom Affective Waterloo,10,,,,generate,
Bloom Affective Waterloo,12,,,refute,,
Bloom Affective Waterloo,14,,,,rank,
Bloom Affective Alberta,0,,,argue,,
Bloom Affective Alberta,2,,,,build,
Bloom Affective Alberta,3,,,,codify,internalise
Bloom Affective Alberta,4,concentrate,,devote,construct,
Bloom Affective Alberta,6,,,,develop,
Bloom Affective Alberta,7,,examine,,,
Bloom Affective Alberta,8,,,persuade,,
Bloom Affective Alberta,9,recognise,,,,
Bloom Affective Alberta,10,retain,,,,
Bloom Affective Alberta,11,,,pursue,,
Bloom Affective Alberta,13,,,,prioritise,
Bloom Affective Alberta,14,,,,reconcile,
Bloom Affective Madison,4,,enjoy,,,
Bloom Affective UIC,7,,discuess,,,
